n,nb_hat,r1_radius,r1_nb_lo,r1_nb_hi,r2_nb_lo,r2_nb_hi,succ_diff_hat,r1_sd_lo,r1_sd_hi,r2_sd_lo,r2_sd_hi,r2_wr_lo,r2_wr_hi
212,-0.4858490566037736,0.2224665943891919,-0.7083156509929655,-0.2633824622145817,-0.6654532036550767,-0.2690841431184759,0.0,-0.2224665943891919,0.2224665943891919,-0.15831874310970306,0.15831874310970306,0.17359261576537516,0.5537303593587276
213,-0.48826291079812206,0.2218264765256742,-0.7100893873237962,-0.2664364342724479,-0.667119896397904,-0.27222796840846814,0.0,-0.2218264765256742,0.2218264765256742,-0.15759798884391785,0.15759798884391785,0.17251799520088285,0.5497920329096692
214,-0.49065420560747663,0.22119176657752554,-0.7118459721850021,-0.2694624390299511,-0.6687699955339743,-0.27534516315872426,0.0,-0.22119176657752554,0.22119176657752554,-0.15688376128673553,0.15688376128673553,0.1714566294052337,0.5459089867031757
215,-0.4930232558139535,0.22056239169750036,-0.7135856475114539,-0.27246086411645315,-0.6704037552656129,-0.27843605175960895,0.0,-0.22056239169750036,0.22056239169750036,-0.15617598593235016,0.15617598593235016,0.17040827470511638,0.5420800782886892
216,-0.4861111111111111,0.21993828036733265,-0.7060493914784438,-0.26617283074377845,-0.6642982883171903,-0.27134719180564093,0.004629629629629629,-0.21530865073770303,0.22456790999696227,-0.15168703954528878,0.16080588440376298,0.1749330392926177,0.5512530103816123
217,-0.48847926267281105,0.21931936236733046,-0.7077986250401416,-0.2691599003054806,-0.6659390545248437,-0.27442662115745287,0.004608294930875576,-0.21471106743645488,0.22392765729820605,-0.15100837371865727,0.160087506891945,0.17387054660345372,0.5474113377648803
218,-0.4908256880733945,0.21870556874680436,-0.7095312568201988,-0.27212011932659014,-0.667563789071293,-0.2774804111467589,0.0045871559633027525,-0.2141184127835016,0.2232927247101071,-0.1503357543447696,0.15937553892988682,0.17282091420026288,0.5436225068140964
219,-0.4931506849315068,0.218096831795303,-0.7112475167268099,-0.2750538531362038,-0.6691727342262659,-0.2805088780922433,0.0045662100456621,-0.2135306217496409,0.2226630418409651,-0.14966910805332062,0.1586698603956667,0.1717839094881993,0.5398854584190206
220,-0.4954545454545455,0.2174930850146304,-0.7129476304691759,-0.2779614604399151,-0.6707661128179596,-0.283512336354364,0.004545454545454545,-0.21294763046917586,0.22203853956008496,-0.14900834648446604,0.1579704105176709,0.1707593052496152,0.5361991304319278
221,-0.497737556561086,0.21689426309162002,-0.714631819652706,-0.28084329346946596,-0.6723441586100678,-0.2864910760616286,0.004524886877828055,-0.21236937621379195,0.2214191499694481,-0.14835339622799631,0.1572771137116721,0.16974688429275628,0.5325625108665164
222,-0.49099099099099097,0.21630030187164212,-0.7072912928626331,-0.27469068911934885,-0.6663877321658909,-0.279558513145726,0.009009009009009009,-0.20729129286263312,0.22530931088065112,-0.14400684296547825,0.16177047131297825,0.17414568672405875,0.5414052375809391
223,-0.49327354260089684,0.21571113833282096,-0.7089846809337178,-0.2775624042680759,-0.6679726319195445,-0.2825269124433064,0.008968609865470852,-0.2067425284673501,0.2246797481982918,-0.14337898282994072,0.16106724251278842,0.17311984598633787,0.5377560141789288
224,-0.48660714285714285,0.21512671056094024,-0.701733853418083,-0.2714804322962026,-0.6620725680674824,-0.2756898606063001,0.013392857142857142,-0.2017338534180831,0.2285195677037974,-0.1390840793028474,0.16549313234697494,0.1774988088834474,0.5465274348688218
225,-0.4888888888888889,0.21454695772501492,-0.7034358466139038,-0.27434193116387395,-0.6636638889710109,-0.27864778505431276,0.013333333333333334,-0.20121362439168158,0.22788029105834826,-0.1384825301170349,0.16478048245112098,0.17645990864462158,0.5428663792690769
226,-0.4911504424778761,0.21397182005350926,-0.7051222625313853,-0.27717862242436686,-0.6652402402421014,-0.2815819094534469,0.01327433628318584,-0.20069748377032343,0.2272461563366951,-0.1378861657813587,0.16407396261934684,0.17543312628890617,0.5392537623412966
227,-0.4845814977973568,0.21340123881118067,-0.6979827366085375,-0.27118025898617615,-0.6594164177841026,-0.27485093579418335,0.01762114537444934,-0.19578009343673133,0.23102238418563,-0.1336622092429762,0.1684192035035415,0.17976775405038942,0.5478955720365205
228,-0.4868421052631579,0.21283515627653102,-0.6996772615396889,-0.2740069489866269,-0.6609988606681948,-0.27777474138297537,0.017543859649122806,-0.1952912966274082,0.23037901592565382,-0.1330911464858473,0.1677037770288033,0.1787283380328583,0.5442716721173639
229,-0.4890829694323144,0.21227351571984576,-0.7013564851521601,-0.2768094537124686,-0.6625666075658592,-0.2806753017105911,0.017467248908296942,-0.19480626681154883,0.2297407646281427,-0.1325249418160801,0.1669943840873293,0.1777009031098801,0.5406951381143925
230,-0.4826086956521739,0.21171626138180416,-0.694324957033978,-0.27089243427036974,-0.6568168804049491,-0.27404714570097294,0.021739130434782608,-0.18997713094702157,0.23345539181658675,-0.12836975377538928,0.17126177283732788,0.1819923209873388,0.5492110257757894
231,-0.4805194805194805,0.21116333845264249,-0.691682818972123,-0.269356142066838,-0.6542518789117986,-0.27282593002567046,0.021645021645021644,-0.18951831680762085,0.23280836009766412,-0.12782790495719745,0.17054397087076523,0.1819923209873388,0.5492110257757894
232,-0.4827586206896552,0.21061469305185396,-0.6933733137415091,-0.27214392763780126,-0.6558308318771165,-0.27570836708463475,0.021551724137931036,-0.18906296891392294,0.23216641718978498,-0.12729060759061367,0.1698321436756644,0.18095264922877052,0.5456237169067905
233,-0.48497854077253216,0.21007027220840932,-0.6950488129809415,-0.27490826856412287,-0.6573953643888872,-0.27856827383389304,0.02145922746781116,-0.18861104474059817,0.23152949967622047,-0.1267578068465122,0.1691262563410747,0.1799248168463151,0.5420827192104688
