scenario,replicates,true_net_benefit,true_success_difference,true_safety_difference,boundary_gate,admissible,method,convention,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_runs_per_arm_used
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_success_allpairs_fixed_wald,"single gate, ever rejected by n = 10000",483,0.0483,0.04426852864460951,0.05267837548345972,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_compliance_allpairs_fixed_wald,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_nb_allpairs_gs_obf,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_success_allpairs_gs_obf,"single gate, ever rejected by n = 10000",508,0.0508,0.04666599590665272,0.05527898822956311,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_compliance_allpairs_gs_obf,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_nb_allpairs_gs_pocock,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_success_allpairs_gs_pocock,"single gate, ever rejected by n = 10000",489,0.0489,0.044843646588557176,0.053302796741467234,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_compliance_allpairs_gs_pocock,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_nb_allpairs_gs_hsd,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_success_allpairs_gs_hsd,"single gate, ever rejected by n = 10000",496,0.0496,0.04551483891184551,0.054031066820459946,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_compliance_allpairs_gs_hsd,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_nb_allpairs_asympcs_projection_gaussian,"single gate, ever rejected by n = 10000",10000,1.0,0.9996160016293234,1.0,
success_boundary,10000,0.4240552181589537,-0.030000000000000027,0.0,success,False,gate_success_allpairs_asympcs_projection_gaussian,"single gate, ever rejected by n = 10000",257,0.0257,0.02277595874247574,0.028988302111948076,
