n,net_benefit,success_difference,radius,nb_lo,nb_hi,success_lo,success_hi
83,-0.5783132530120482,-0.024096385542168676,0.4185820013624035,-0.9968952543744516,-0.1597312516496447,-0.4426783869045722,0.3944856158202348
84,-0.5833333333333334,-0.03571428571428571,0.41489868819201076,-0.9982320215253442,-0.16843464514132261,-0.45061297390629645,0.37918440247772506
85,-0.5882352941176471,-0.047058823529411764,0.4112989440500689,-0.9995342381677159,-0.17693635006757819,-0.45835776757948066,0.36424012052065713
86,-0.5813953488372093,-0.046511627906976744,0.40777987739024313,-0.9891752262274525,-0.1736154714469662,-0.45429150529721984,0.3612682494832664
87,-0.5862068965517241,-0.04597701149425287,0.40433872930634923,-0.9905456258580734,-0.18186816724537486,-0.4503157408006021,0.35836171781209636
88,-0.5909090909090909,-0.045454545454545456,0.40097286600148324,-0.9918819569105741,-0.1899362249076077,-0.4464274114560287,0.35551832054693777
89,-0.5955056179775281,-0.0449438202247191,0.3976797717647216,-0.9931853897422497,-0.19782584621280652,-0.4426235919894407,0.3527359515400025
90,-0.6,-0.044444444444444446,0.39445704241592017,-0.9944570424159201,-0.2055429575840798,-0.4389014868603646,0.3500125979714757
91,-0.5934065934065934,-0.04395604395604396,0.39130237918260546,-0.9847089725891989,-0.20210421422398794,-0.43525842313864943,0.3473463352265615
92,-0.5978260869565217,-0.043478260869565216,0.38821358297608627,-0.9860396699326079,-0.20961250398043546,-0.4316918438456515,0.344735322106521
93,-0.6021505376344086,-0.043010752688172046,0.38518854903673844,-0.9873390866711471,-0.21696198859767019,-0.4281993017249105,0.3421777963485664
94,-0.5851063829787234,-0.031914893617021274,0.3822252619209771,-0.9673316448997005,-0.2028811210577463,-0.4141401555379984,0.35031036830395584
95,-0.5684210526315789,-0.021052631578947368,0.3793217908047388,-0.9477428434363178,-0.18909926182684011,-0.4003744223836862,0.35826915922579144
96,-0.5729166666666666,-0.03125,0.3764762850803997,-0.9493929517470663,-0.19644038158626692,-0.4077262850803997,0.3452262850803997
97,-0.5773195876288659,-0.030927835051546393,0.373686970225956,-0.9510065578548219,-0.20363261740290994,-0.4046148052775024,0.3427591351744096
98,-0.5816326530612245,-0.030612244897959183,0.3709521439270222,-0.9525847969882466,-0.21068050913420228,-0.40156438882498136,0.34033989902906303
99,-0.5858585858585859,-0.030303030303030304,0.3682701724337729,-0.9541287582923588,-0.21758841342481294,-0.3985732027368032,0.33796714213074264
100,-0.57,-0.02,0.3656394871363849,-0.9356394871363849,-0.20436051286361506,-0.3856394871363849,0.34563948713638487
101,-0.5742574257425742,-0.019801980198019802,0.3630585813438384,-0.9373160070864126,-0.21119884439873582,-0.3828605615418582,0.3432566011458186
102,-0.5588235294117647,-0.00980392156862745,0.36052600725212286,-0.9193495366638875,-0.19829752215964186,-0.37032992882075033,0.3507220856834954
103,-0.5631067961165048,-0.009708737864077669,0.3580403730889784,-0.9211471692054832,-0.20506642302752642,-0.36774911095305607,0.34833163522490074
104,-0.5673076923076923,-0.019230769230769232,0.35560034042329075,-0.9229080327309831,-0.21170735188440154,-0.37483110965405997,0.33636957119252153
105,-0.5714285714285714,-0.01904761904761905,0.3532046216281671,-0.9246331930567385,-0.21822394980040427,-0.37225224067578616,0.3341570025805481
106,-0.5754716981132075,-0.02830188679245283,0.3508519774875436,-0.9263236756007511,-0.22461972062566393,-0.3791538642799964,0.3225500906950908
107,-0.5794392523364486,-0.028037383177570093,0.34854121493693807,-0.9279804672733867,-0.23089803739951048,-0.37657859811450817,0.320503831759368
108,-0.5833333333333334,-0.027777777777777776,0.3462711849296541,-0.9296045182629875,-0.23706214840367928,-0.3740489627074319,0.3184934071518763
109,-0.5871559633027523,-0.03669724770642202,0.34404078042038155,-0.9311967437231339,-0.24311518288237077,-0.3807380281268036,0.30734353271395953
110,-0.5909090909090909,-0.03636363636363636,0.3418489344587251,-0.932758025367816,-0.24906015645036583,-0.3782125708223615,0.30548529809508873
111,-0.5765765765765766,-0.02702702702702703,0.33969461838572923,-0.9162711949623058,-0.23688195819084734,-0.36672164541275626,0.3126675913587022
112,-0.5803571428571429,-0.03571428571428571,0.33757684012696354,-0.9179339829841064,-0.24278030273017936,-0.37329112584124924,0.30186255441267784
113,-0.584070796460177,-0.035398230088495575,0.33549464257618944,-0.9195654390363664,-0.24857615388398757,-0.370892872664685,0.30009641248769386
114,-0.5877192982456141,-0.03508771929824561,0.3334471020640458,-0.9211664003096599,-0.25427219618156827,-0.36853482136229143,0.2983593827658002
115,-0.591304347826087,-0.043478260869565216,0.3314333269065813,-0.9227376747326683,-0.2598710209195057,-0.3749115877761465,0.28795506603701604
116,-0.5948275862068966,-0.04310344827586207,0.32945245602881496,-0.9242800422357116,-0.2653751301780816,-0.372555904304677,0.2863490077529529
117,-0.5982905982905983,-0.05128205128205128,0.3275036576588388,-0.9257942559494371,-0.27078694063175945,-0.3787857089408901,0.27622160637678755
118,-0.6016949152542372,-0.059322033898305086,0.3255861280882772,-0.9272810433425145,-0.27610878716596005,-0.3849081619865823,0.2662640941899721
