scenario,method,replicates,max_runs_per_arm,true_net_benefit,true_success_difference,true_safety_difference,admissible,deployments,deployment_rate,rate_ci_lower,rate_ci_upper,mean_runs_per_arm_used,mean_runs_mcse,median_runs_among_deployments
tie_heavy_null,guarded_allpairs_asympcs_simultaneous,2000,10000,-4.946168474795342e-18,0.0,0.0,False,38,0.019,0.013873784918301425,0.025970414566263898,9854.0,24.411513676951703,1700.0
tie_heavy_null,win_only_disjoint_gs_obf,2000,10000,-4.946168474795342e-18,0.0,0.0,False,89,0.0445,0.03630266512840682,0.054443764944814586,9899.0,13.762249089447552,8000.0
tie_heavy_null,guarded_disjoint_gs_obf,2000,10000,-4.946168474795342e-18,0.0,0.0,False,89,0.0445,0.03630266512840682,0.054443764944814586,9899.0,13.762249089447552,8000.0
tie_heavy_null,win_only_disjoint_betting,2000,10000,-4.946168474795342e-18,0.0,0.0,False,21,0.0105,0.006877887380873443,0.015998901907473176,9925.175,17.484313961019666,2000.0
tie_heavy_null,guarded_disjoint_betting,2000,10000,-4.946168474795342e-18,0.0,0.0,False,21,0.0105,0.006877887380873443,0.015998901907473176,9927.3,16.924164824297954,2000.0
tie_heavy_null,guarded_disjoint_betting_simultaneous,2000,10000,-4.946168474795342e-18,0.0,0.0,False,15,0.0075,0.004550377435809225,0.012337914136224913,9954.15,12.954492994710437,2350.0
tie_heavy_null,win_only_disjoint_betting_simultaneous,2000,10000,-4.946168474795342e-18,0.0,0.0,False,21,0.0105,0.006877887380873443,0.015998901907473176,9925.175,17.484313961019666,2000.0
tie_heavy_efficiency,win_only_allpairs_fixed_wald,2000,10000,0.057998043733088485,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,10000.0,0.0,10000.0
tie_heavy_efficiency,guarded_allpairs_fixed_wald,2000,10000,0.057998043733088485,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,10000.0,0.0,10000.0
tie_heavy_efficiency,win_only_allpairs_gs_obf,2000,10000,0.057998043733088485,0.0,0.0,True,2000,1.0,0.9980829527187469,0.9999999999999998,2728.0,13.892731912766473,3000.0
tie_heavy_efficiency,guarded_allpairs_gs_obf,2000,10000,0.057998043733088485,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,4688.5,30.228031278930487,4000.0
tie_heavy_efficiency,guarded_allpairs_gs_obf_simultaneous,2000,10000,0.057998043733088485,0.0,0.0,True,1999,0.9995,0.9971731374967338,0.9999117322692944,4688.5,30.228031278930487,4000.0
