pair_index,n,z,decisive_tier,success_diff,n_win,n_loss,n_tie,n_succ_pos,n_succ_neg,nb_hat,succ_diff_hat,log_e_win,log_e_gate,log_e_harm,e_win,e_gate,e_harm,win_cross,gate_cross,deploy,harm
111,111,1,0,1,19,83,9,17,20,-0.5765765765765766,-0.02702702702702703,-0.7216119586902319,-0.21474252005338457,18.26028863048852,0.4859682634824918,0.8067491351617861,85180971.74146833,False,False,False,True
112,112,-1,0,-1,19,84,9,17,21,-0.5803571428571429,-0.03571428571428571,-0.724924888177958,-0.2419187317054754,18.72915468573116,0.4843609488224584,0.7851199803210211,136134603.48292792,False,False,False,True
113,113,-1,1,0,19,85,9,17,21,-0.584070796460177,-0.035398230088495575,-0.7281988959728336,-0.2411746917923523,19.200039387772595,0.4827777404330017,0.7857043582962803,218007361.33447698,False,False,False,True
114,114,-1,1,0,19,86,9,17,21,-0.5877192982456141,-0.03508771929824561,-0.7314350243498966,-0.24042852695965156,19.67290585413132,0.4812179349140819,0.7862908420369008,349811800.206204,False,False,False,True
115,115,-1,0,-1,19,87,9,17,22,-0.591304347826087,-0.043478260869565216,-0.7346342732623663,-0.2649303388997164,20.14772567799493,0.4796808590143696,0.7672593962480166,562401000.8109254,False,False,False,True
116,116,-1,1,0,19,88,9,17,22,-0.5948275862068966,-0.04310344827586207,-0.7377976026186026,-0.26425316752975325,20.624478898930587,0.47816586794262284,0.7677791383018492,905935707.921813,False,False,False,True
117,117,-1,0,-1,19,89,9,17,23,-0.5982905982905983,-0.05128205128205128,-0.7409259344077457,-0.2864589322800284,21.103153903657407,0.4766723437950151,0.7509179163845775,1462120920.2708545,False,False,False,True
118,118,-1,0,-1,19,90,9,17,24,-0.6016949152542372,-0.059322033898305086,-0.7440201546859249,-0.3066821575675709,21.58374725252219,0.4751996940890421,0.7358844590467147,2364298629.9599557,False,False,False,True
119,119,-1,1,0,19,91,9,17,24,-0.6050420168067226,-0.058823529411764705,-0.7470811154338741,-0.30611403927078307,22.06626342691968,0.47374735039549265,0.7363026472511585,3830508607.137538,False,False,False,True
120,120,-1,0,-1,19,92,9,17,25,-0.6083333333333333,-0.06666666666666667,-0.7501096362957966,-0.324702862091097,22.550714492642083,0.4723147670607609,0.7227420758085266,6218002139.359912,False,False,False,True
121,121,-1,1,0,19,93,9,17,25,-0.6115702479338843,-0.06611570247933884,-0.7531065062084834,-0.324177141590849,23.037119674139518,0.4709014200124608,0.7231221360281418,10113324756.631903,False,False,False,True
122,122,-1,1,0,19,94,9,17,25,-0.6147540983606558,-0.06557377049180328,-0.7560724849288807,-0.32365027445194405,23.525504835032308,0.4695068056419439,0.7235032257020273,16481507553.952978,False,False,False,True
123,123,-1,0,-1,19,95,9,17,26,-0.6178861788617886,-0.07317073170731707,-0.7590083044676104,-0.34087486697038205,24.01590186104041,0.46813043975788,0.7111478907290406,26913715433.717255,False,False,False,True
124,124,1,0,1,20,95,9,18,26,-0.6048387096774194,-0.06451612903225806,-0.7561103609901281,-0.32418791435295624,23.004437752620195,0.4694890229101894,0.7231143460473558,9788144570.741451,False,False,False,True
125,125,-1,1,0,20,96,9,18,26,-0.608,-0.064,-0.7590453343493158,-0.3236639348840211,23.487422648325108,0.46811310526402217,0.7234933424028603,15865656607.927435,False,False,False,True
126,126,-1,1,0,20,97,9,18,26,-0.6111111111111112,-0.06349206349206349,-0.7619508834484798,-0.32313882429882357,23.972179424911182,0.46675495369623143,0.7238733561811727,25762336196.058598,False,False,False,True
127,127,0,-1,0,20,97,10,18,26,-0.6062992125984252,-0.06299212598425197,-0.7619508834484798,-0.3226125782709892,23.972179424911182,0.46675495369623143,0.724254391909994,25762336196.058598,False,False,False,True
128,128,1,0,1,21,97,10,19,26,-0.59375,-0.0546875,-0.7590823317582021,-0.3046629524110065,22.986812651007188,0.4680957866124363,0.7373718619214662,9617138950.597567,False,False,False,True
129,129,-1,1,0,21,98,10,19,26,-0.5968992248062015,-0.05426356589147287,-0.7619870654642935,-0.30409696296615785,23.465372371274945,0.4667380658666354,0.7377893247408726,15519643347.878147,False,False,False,True
130,130,-1,1,0,21,99,10,19,26,-0.6,-0.05384615384615385,-0.7648630818970448,-0.3035296826665004,23.945518511172253,0.465397647975289,0.7382079768254085,25084563933.415493,False,False,False,True
131,131,0,-1,0,21,99,11,19,26,-0.5954198473282443,-0.05343511450381679,-0.7648630818970448,-0.302961106403175,23.945518511172253,0.465397647975289,0.7386278237046031,25084563933.415493,False,False,False,True
132,132,1,0,1,22,99,11,20,26,-0.5833333333333334,-0.045454545454545456,-0.762023216569288,-0.2835787973048354,22.98086306578233,0.4667211930747982,0.7530837788299617,9560090837.377699,False,False,False,True
